Area,BHK,Parking,Price
3000,4,4,65000000
700,2,,4600000
750,2,,9200000
1350,4,2,9500000
900,2,1,4500000
970,3,1,6500000
1000,3,1,5650000
1425,3,1,9300000
440,2,1,2700000
1017,2,1,6500000
650,2,1,5800000
950,3,1,5500000
810,3,1,6000000
750,2,1,4500000
990,2,2,4100000
800,3,2,3800000
675,2,1,3300000
558,2,1,2900000
445,2,1,2000000
360,2,1,1550000
1350,4,1,11300000
850,3,1,4500000
846,2,1,3300000
1300,4,1,11500000
900,3,1,6000000
1050,3,1,9000000
850,2,1,4500000
1650,4,1,14000000
1150,2,1,7300000
495.1394,1,1,1900000
1053,3,4,7000000
810,3,1,6000000
750,1,1,6400000
540,2,1,2700000
747,2,1,6500000
720,2,1,4000000
376.7365,1,1,3000000
1125,2,1,5000000
713,2,1,6000000
360,1,1,2500000
900,2,1,6500000
713,3,1,8000000
504,2,1,2700000
70,1,1,4500000
850,3,1,5700000
2430,4,1,25000000
2475,3,1,70000000
2970,7,1,26500000
2250,3,1,18500000
1500,5,1,30000000
1512,2,1,22000000
400,2,1,9000000
2160,3,1,65000000
630,3,1,22500000
324,6,1,8700000
720,6,1,22000000
675,4,2,18500000
700,2,2,16000000
675,4,2,16000000
720,4,2,9000000
850,2,1,4500000
801,3,1,6000000
450,1,1,2700000
1000,3,1,6500000
990,3,1,4000000
420,2,1,2600000
450,2,1,3500000
1000,2,1,7500000
900,3,1,7000000
800,3,1,4500000
720,3,2,5500000
450,2,2,2700000
675,2,2,2400000
1700,4,2,11500000
550,2,2,3600000
387,1,2,1700000
450,2,2,2500000
900,4,1,6600000
500,2,1,3700000
441,2,1,3500000
800,3,1,5400000
450,2,1,2550000
1000,3,1,12500000
715,2,1,5600000
600,2,1,7000000
540,2,1,3500000
312,4,1,35000000
810,3,1,9000000
270,1,1,2300000
900,3,1,6000000
1000,3,1,6000000
540,2,1,2650000
950,3,1,4370000
1000,3,1,4620000
540,2,1,3000000
540,2,1,3300000
1000,3,1,5510000
500,2,1,3200000
540,2,1,2600000
780,3,1,4000000
450,2,1,1850000
360,1,1,1700000
900,3,1,2800000
495,2,1,2150000
1200,4,1,6800000
1000,3,1,6200000
620,2,1,3100000
680,3,1,3400000
805,2,1,4000000
729,2,1,4800000
540,2,1,2500000
360,1,1,2000000
550,2,1,1900000
1001,3,1,5800000
450,2,1,2900000
550,2,1,2000000
550,2,1,2600000
675,2,1,2900000
585,2,1,3200000
810,3,1,5400000
765,3,1,3800000
4688,5,1,135000000
3901,4,1,93000000
70,2,1,8200000
800,3,1,8000000
900,3,1,9500000
1680,4,1,20000000
900,2,3,7400000
2000,3,1,37500000
2000,4,3,15000000
1900,3,1,55300000
1530,3,2,26500000
100,3,2,16000000
900,3,2,10400000
270,1,2,1700000
950,2,2,8000000
1800,3,2,27000000
1500,3,2,19500000
1800,3,3,50000000
1800,3,3,21100000
2306,3,1,57000000
